ControllerID,Node FQDN,Node IP Address,Cluster ID,Cluster Name,Cluster Creation DateTime,User ID,User Name,Flavor ID,Flavor Name,Flavor vCores,Flavor Memory MB,Flavor Disk GB,Flavor GPU Sockets,App DistroID,App Image Name,App Image Version,Tenant ID,Tenant Name,Date,Usage Hours
4510ae67-6ea5-4c19-b907-e25208208cb5,blmlops-36.bdlocal,172.18.0.18,10,centOS MapR HDFS API,11/15/19 21:57:06,4,admin,1,Small,4,8192,30,0,bluedata/centos7,CentOS 7.x,2.2,2,Demo Tenant CC,01/20/19,0
4510ae67-6ea5-4c19-b907-e25208208cb5,blmlops-36.bdlocal,172.18.0.18,10,centOS MapR HDFS API,11/15/19 21:57:06,4,admin,1,Small,4,8192,30,0,bluedata/centos7,CentOS 7.x,2.2,2,Demo Tenant CC,01/21/19,0
4510ae67-6ea5-4c19-b907-e25208208cb5,blmlops-36.bdlocal,172.18.0.18,10,centOS MapR HDFS API,11/15/19 21:57:06,4,admin,1,Small,4,8192,30,0,bluedata/centos7,CentOS 7.x,2.2,2,Demo Tenant CC,01/22/19,0
4510ae67-6ea5-4c19-b907-e25208208cb5,blmlops-36.bdlocal,172.18.0.18,10,centOS MapR HDFS API,11/15/19 21:57:06,4,admin,1,Small,4,8192,30,0,bluedata/centos7,CentOS 7.x,2.2,2,Demo Tenant CC,01/23/19,0
4510ae67-6ea5-4c19-b907-e25208208cb5,blmlops-36.bdlocal,172.18.0.18,10,centOS MapR HDFS API,11/15/19 21:57:06,4,admin,1,Small,4,8192,30,0,bluedata/centos7,CentOS 7.x,2.2,2,Demo Tenant CC,01/24/19,0
4510ae67-6ea5-4c19-b907-e25208208cb5,blmlops-36.bdlocal,172.18.0.18,10,centOS MapR HDFS API,11/15/19 21:57:06,4,admin,1,Small,4,8192,30,0,bluedata/centos7,CentOS 7.x,2.2,2,Demo Tenant CC,01/25/19,0
4510ae67-6ea5-4c19-b907-e25208208cb5,blmlops-36.bdlocal,172.18.0.18,10,centOS MapR HDFS API,11/15/19 21:57:06,4,admin,1,Small,4,8192,30,0,bluedata/centos7,CentOS 7.x,2.2,2,Demo Tenant CC,01/26/19,0
4510ae67-6ea5-4c19-b907-e25208208cb5,blmlops-36.bdlocal,172.18.0.18,10,centOS MapR HDFS API,11/15/19 21:57:06,4,admin,1,Small,4,8192,30,0,bluedata/centos7,CentOS 7.x,2.2,2,Demo Tenant CC,01/27/19,0
4510ae67-6ea5-4c19-b907-e25208208cb5,blmlops-36.bdlocal,172.18.0.18,10,centOS MapR HDFS API,11/15/19 21:57:06,4,admin,1,Small,4,8192,30,0,bluedata/centos7,CentOS 7.x,2.2,2,Demo Tenant CC,01/28/19,0
4510ae67-6ea5-4c19-b907-e25208208cb5,blmlops-36.bdlocal,172.18.0.18,10,centOS MapR HDFS API,11/15/19 21:57:06,4,admin,1,Small,4,8192,30,0,bluedata/centos7,CentOS 7.x,2.2,2,Demo Tenant CC,01/29/19,0
4510ae67-6ea5-4c19-b907-e25208208cb5,blmlops-36.bdlocal,172.18.0.18,10,centOS MapR HDFS API,11/15/19 21:57:06,4,admin,1,Small,4,8192,30,0,bluedata/centos7,CentOS 7.x,2.2,2,Demo Tenant CC,01/30/19,0
4510ae67-6ea5-4c19-b907-e25208208cb5,blmlops-36.bdlocal,172.18.0.18,10,centOS MapR HDFS API,11/15/19 21:57:06,4,admin,1,Small,4,8192,30,0,bluedata/centos7,CentOS 7.x,2.2,2,Demo Tenant CC,01/31/19,0
4510ae67-6ea5-4c19-b907-e25208208cb5,blmlops-36.bdlocal,172.18.0.18,10,centOS MapR HDFS API,11/15/19 21:57:06,4,admin,1,Small,4,8192,30,0,bluedata/centos7,CentOS 7.x,2.2,2,Demo Tenant CC,02/01/19,0
